LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PASSCAR,TOT,PC_CHG,A,1994,1.25,
AUS,PASSCAR,TOT,PC_CHG,A,1995,6.013875503,
AUS,PASSCAR,TOT,PC_CHG,A,1996,0.754752525,
AUS,PASSCAR,TOT,PC_CHG,A,1997,9.81489987,
AUS,PASSCAR,TOT,PC_CHG,A,1998,8.144120603,
AUS,PASSCAR,TOT,PC_CHG,A,1999,-6.295434321,
AUS,PASSCAR,TOT,PC_CHG,A,2000,1.114191376,
AUS,PASSCAR,TOT,PC_CHG,A,2001,-4.374603782,
AUS,PASSCAR,TOT,PC_CHG,A,2002,2.037578477,
AUS,PASSCAR,TOT,PC_CHG,A,2003,8.935102917,
AUS,PASSCAR,TOT,PC_CHG,A,2004,0.250462608,
AUS,PASSCAR,TOT,PC_CHG,A,2005,3.189742112,
AUS,PASSCAR,TOT,PC_CHG,A,2006,-1.709909922,
AUS,PASSCAR,TOT,PC_CHG,A,2007,6.445753133,
AUS,PASSCAR,TOT,PC_CHG,A,2008,-6.311021799,
AUS,PASSCAR,TOT,PC_CHG,A,2009,-9.418096875,
AUS,PASSCAR,TOT,PC_CHG,A,2010,9.538221333,
AUS,PASSCAR,TOT,PC_CHG,A,2011,-5.505622152,
AUS,PASSCAR,TOT,PC_CHG,A,2012,3.097822784,
AUS,PASSCAR,TOT,PC_CHG,A,2013,-1.80305276,
AUT,PASSCAR,TOT,PC_CHG,A,1994,-4.032444716,
AUT,PASSCAR,TOT,PC_CHG,A,1995,2.173110724,
AUT,PASSCAR,TOT,PC_CHG,A,1996,10.0357641,
AUT,PASSCAR,TOT,PC_CHG,A,1997,-10.61848533,
AUT,PASSCAR,TOT,PC_CHG,A,1998,7.586881502,
AUT,PASSCAR,TOT,PC_CHG,A,1999,6.190999273,
AUT,PASSCAR,TOT,PC_CHG,A,2000,-1.513453985,
AUT,PASSCAR,TOT,PC_CHG,A,2001,-5.138207073,
AUT,PASSCAR,TOT,PC_CHG,A,2002,-4.781485923,
AUT,PASSCAR,TOT,PC_CHG,A,2003,7.380506846,
AUT,PASSCAR,TOT,PC_CHG,A,2004,3.722165393,
AUT,PASSCAR,TOT,PC_CHG,A,2005,-1.084833533,
AUT,PASSCAR,TOT,PC_CHG,A,2006,0.220515402,
AUT,PASSCAR,TOT,PC_CHG,A,2007,-3.374012456,
AUT,PASSCAR,TOT,PC_CHG,A,2008,-1.504114937,
AUT,PASSCAR,TOT,PC_CHG,A,2009,8.752557908,
AUT,PASSCAR,TOT,PC_CHG,A,2010,2.867850333,
AUT,PASSCAR,TOT,PC_CHG,A,2011,8.394737082,
AUT,PASSCAR,TOT,PC_CHG,A,2012,-5.653596148,
AUT,PASSCAR,TOT,PC_CHG,A,2013,-5.051932978,
BEL,PASSCAR,TOT,PC_CHG,A,1994,3.180264725,
BEL,PASSCAR,TOT,PC_CHG,A,1995,-7.352561521,
BEL,PASSCAR,TOT,PC_CHG,A,1996,10.72567072,
BEL,PASSCAR,TOT,PC_CHG,A,1997,-0.281609326,
BEL,PASSCAR,TOT,PC_CHG,A,1998,14.10483545,
BEL,PASSCAR,TOT,PC_CHG,A,1999,8.292323651,
BEL,PASSCAR,TOT,PC_CHG,A,2000,5.225061834,
BEL,PASSCAR,TOT,PC_CHG,A,2001,-5.147669661,
BEL,PASSCAR,TOT,PC_CHG,A,2002,-4.320592286,
BEL,PASSCAR,TOT,PC_CHG,A,2003,-1.87630061,
BEL,PASSCAR,TOT,PC_CHG,A,2004,5.658506177,
BEL,PASSCAR,TOT,PC_CHG,A,2005,-0.963162987,
BEL,PASSCAR,TOT,PC_CHG,A,2006,9.592616354,
BEL,PASSCAR,TOT,PC_CHG,A,2007,-0.255824959,
BEL,PASSCAR,TOT,PC_CHG,A,2008,2.125020246,
BEL,PASSCAR,TOT,PC_CHG,A,2009,-11.14905019,
BEL,PASSCAR,TOT,PC_CHG,A,2010,14.94054944,
BEL,PASSCAR,TOT,PC_CHG,A,2011,4.543976322,
BEL,PASSCAR,TOT,PC_CHG,A,2012,-14.93749683,
BEL,PASSCAR,TOT,PC_CHG,A,2013,-0.138062239,
CAN,PASSCAR,TOT,PC_CHG,A,1994,1.30113335,
CAN,PASSCAR,TOT,PC_CHG,A,1995,-10.48187171,
CAN,PASSCAR,TOT,PC_CHG,A,1996,-1.405720766,
CAN,PASSCAR,TOT,PC_CHG,A,1997,11.77128467,
CAN,PASSCAR,TOT,PC_CHG,A,1998,0.305734209,
CAN,PASSCAR,TOT,PC_CHG,A,1999,8.861135409,
CAN,PASSCAR,TOT,PC_CHG,A,2000,5.297153457,
CAN,PASSCAR,TOT,PC_CHG,A,2001,2.291764556,
CAN,PASSCAR,TOT,PC_CHG,A,2002,7.606443235,
CAN,PASSCAR,TOT,PC_CHG,A,2003,-7.40651586,
CAN,PASSCAR,TOT,PC_CHG,A,2004,-5.242439123,
CAN,PASSCAR,TOT,PC_CHG,A,2005,3.062907952,
CAN,PASSCAR,TOT,PC_CHG,A,2006,2.122519291,
CAN,PASSCAR,TOT,PC_CHG,A,2007,-0.481833074,
CAN,PASSCAR,TOT,PC_CHG,A,2008,4.132930851,
CAN,PASSCAR,TOT,PC_CHG,A,2009,-16.41511227,
CAN,PASSCAR,TOT,PC_CHG,A,2010,-5.00982384,
CAN,PASSCAR,TOT,PC_CHG,A,2011,-2.340280535,
CAN,PASSCAR,TOT,PC_CHG,A,2012,9.359663633,
CAN,PASSCAR,TOT,PC_CHG,A,2013,0.170475592,
CZE,PASSCAR,TOT,PC_CHG,A,2004,-6.117753185,
CZE,PASSCAR,TOT,PC_CHG,A,2005,5.623790227,
CZE,PASSCAR,TOT,PC_CHG,A,2006,3.287431031,
CZE,PASSCAR,TOT,PC_CHG,A,2007,11.34115364,
CZE,PASSCAR,TOT,PC_CHG,A,2008,4.641858119,
CZE,PASSCAR,TOT,PC_CHG,A,2009,-8.132388225,
CZE,PASSCAR,TOT,PC_CHG,A,2010,1.116225821,
CZE,PASSCAR,TOT,PC_CHG,A,2011,2.367614105,
CZE,PASSCAR,TOT,PC_CHG,A,2012,0.226389009,
CZE,PASSCAR,TOT,PC_CHG,A,2013,-5.311860588,
DNK,PASSCAR,TOT,PC_CHG,A,1994,69.3314166,
DNK,PASSCAR,TOT,PC_CHG,A,1995,-2.361253004,
DNK,PASSCAR,TOT,PC_CHG,A,1996,4.578813959,
DNK,PASSCAR,TOT,PC_CHG,A,1997,7.525752857,
DNK,PASSCAR,TOT,PC_CHG,A,1998,6.310981803,
DNK,PASSCAR,TOT,PC_CHG,A,1999,-11.0985096,
DNK,PASSCAR,TOT,PC_CHG,A,2000,-21.21512563,
DNK,PASSCAR,TOT,PC_CHG,A,2001,-15.41717635,
DNK,PASSCAR,TOT,PC_CHG,A,2002,16.110036,
DNK,PASSCAR,TOT,PC_CHG,A,2003,-13.52802022,
DNK,PASSCAR,TOT,PC_CHG,A,2004,26.98624885,
DNK,PASSCAR,TOT,PC_CHG,A,2005,21.24560358,
DNK,PASSCAR,TOT,PC_CHG,A,2006,5.479276878,
DNK,PASSCAR,TOT,PC_CHG,A,2007,3.676644185,
DNK,PASSCAR,TOT,PC_CHG,A,2008,-7.273465821,
DNK,PASSCAR,TOT,PC_CHG,A,2009,-25.49663819,
DNK,PASSCAR,TOT,PC_CHG,A,2010,36.8511078,
DNK,PASSCAR,TOT,PC_CHG,A,2011,10.53289414,
DNK,PASSCAR,TOT,PC_CHG,A,2012,-0.505318209,
DNK,PASSCAR,TOT,PC_CHG,A,2013,6.929843254,
FIN,PASSCAR,TOT,PC_CHG,A,1994,20.35425174,
FIN,PASSCAR,TOT,PC_CHG,A,1995,18.88215949,
FIN,PASSCAR,TOT,PC_CHG,A,1996,19.9524346,
FIN,PASSCAR,TOT,PC_CHG,A,1997,9.054575811,
FIN,PASSCAR,TOT,PC_CHG,A,1998,20.32782493,
FIN,PASSCAR,TOT,PC_CHG,A,1999,8.407885424,
FIN,PASSCAR,TOT,PC_CHG,A,2000,-1.262433614,
FIN,PASSCAR,TOT,PC_CHG,A,2001,-18.70314926,
FIN,PASSCAR,TOT,PC_CHG,A,2002,6.950689038,
FIN,PASSCAR,TOT,PC_CHG,A,2003,25.95057846,
FIN,PASSCAR,TOT,PC_CHG,A,2004,-3.231233676,
FIN,PASSCAR,TOT,PC_CHG,A,2005,3.869126905,
FIN,PASSCAR,TOT,PC_CHG,A,2006,-1.661030906,
FIN,PASSCAR,TOT,PC_CHG,A,2007,-13.78380233,
FIN,PASSCAR,TOT,PC_CHG,A,2008,11.18638401,
FIN,PASSCAR,TOT,PC_CHG,A,2009,-35.15024809,
FIN,PASSCAR,TOT,PC_CHG,A,2010,23.6422854,
FIN,PASSCAR,TOT,PC_CHG,A,2011,12.62713302,
FIN,PASSCAR,TOT,PC_CHG,A,2012,-11.79100928,
FIN,PASSCAR,TOT,PC_CHG,A,2013,-7.013428248,
FRA,PASSCAR,TOT,PC_CHG,A,1994,14.62315727,
FRA,PASSCAR,TOT,PC_CHG,A,1995,-2.149860182,
FRA,PASSCAR,TOT,PC_CHG,A,1996,10.44219541,
FRA,PASSCAR,TOT,PC_CHG,A,1997,-19.6549303,
FRA,PASSCAR,TOT,PC_CHG,A,1998,13.45703228,
FRA,PASSCAR,TOT,PC_CHG,A,1999,10.54100403,
FRA,PASSCAR,TOT,PC_CHG,A,2000,-0.676728931,
FRA,PASSCAR,TOT,PC_CHG,A,2001,5.663288164,
FRA,PASSCAR,TOT,PC_CHG,A,2002,-4.863593545,
FRA,PASSCAR,TOT,PC_CHG,A,2003,-6.331958243,
FRA,PASSCAR,TOT,PC_CHG,A,2004,0.222123125,
FRA,PASSCAR,TOT,PC_CHG,A,2005,2.685591612,
FRA,PASSCAR,TOT,PC_CHG,A,2006,-3.251782459,
FRA,PASSCAR,TOT,PC_CHG,A,2007,3.198821923,
FRA,PASSCAR,TOT,PC_CHG,A,2008,-0.69070976,
FRA,PASSCAR,TOT,PC_CHG,A,2009,10.65160273,
FRA,PASSCAR,TOT,PC_CHG,A,2010,-2.577941006,
FRA,PASSCAR,TOT,PC_CHG,A,2011,-2.228681206,
FRA,PASSCAR,TOT,PC_CHG,A,2012,-14.06409654,
FRA,PASSCAR,TOT,PC_CHG,A,2013,-5.388330615,
DEU,PASSCAR,TOT,PC_CHG,A,1994,-1.91730267,
DEU,PASSCAR,TOT,PC_CHG,A,1995,3.458338295,
DEU,PASSCAR,TOT,PC_CHG,A,1996,17.10581292,
DEU,PASSCAR,TOT,PC_CHG,A,1997,13.14397971,
DEU,PASSCAR,TOT,PC_CHG,A,1998,5.768060038,
DEU,PASSCAR,TOT,PC_CHG,A,1999,1.388553192,
DEU,PASSCAR,TOT,PC_CHG,A,2000,-10.80529453,
DEU,PASSCAR,TOT,PC_CHG,A,2001,-1.256794538,
DEU,PASSCAR,TOT,PC_CHG,A,2002,-2.306985034,
DEU,PASSCAR,TOT,PC_CHG,A,2003,-0.595088568,
DEU,PASSCAR,TOT,PC_CHG,A,2004,0.411161246,
DEU,PASSCAR,TOT,PC_CHG,A,2005,2.149671669,
DEU,PASSCAR,TOT,PC_CHG,A,2006,4.732899797,
DEU,PASSCAR,TOT,PC_CHG,A,2007,-9.62005432,
